Time_dec Time_JD TSI[W.m2] Unc TSI_after_corr[W.m2] Unc_after_corr
1.980169746748802254e+03 2.444302000000000000e+06 1.362042602785820918e+03 5.541015625000000151e-04 1.362099430067050434e+03 5.932693087920567045e-04
1.980172484599589325e+03 2.444303000000000000e+06 1.362022402785820759e+03 5.570312500000000177e-04 1.362103210074083563e+03 5.964060869492230580e-04
1.980175222450376395e+03 2.444304000000000000e+06 1.361961002785820710e+03 5.572265624999999962e-04 1.361971352110338330e+03 5.966152054930341482e-04
1.980177960301163694e+03 2.444305000000000000e+06 1.361880602785820884e+03 5.560546875000000168e-04 1.361755646840441841e+03 5.953604942301676068e-04
1.980180698151950764e+03 2.444306000000000000e+06 1.361863302785820906e+03 5.503906249999999901e-04 1.361817978877590349e+03 5.892960564596459901e-04
1.980183436002737835e+03 2.444307000000000000e+06 1.361835402785820861e+03 5.816406250000000179e-04 1.361755667849061638e+03 6.227550234694201022e-04
1.980186173853524906e+03 2.444308000000000000e+06 1.361821802785820864e+03 5.558593750000000383e-04 1.361703006918685787e+03 5.951513756863565166e-04
1.980188911704312204e+03 2.444309000000000000e+06 1.361853602785820840e+03 5.556640624999999514e-04 1.361798496148078129e+03 5.949422571425453179e-04
1.980191649555099275e+03 2.444310000000000000e+06 1.361903802785820744e+03 5.488281250000000538e-04 1.361924003867855618e+03 5.876231081091573766e-04
1.980194387405886346e+03 2.444311000000000000e+06 1.361956202785820778e+03 5.505859374999999686e-04 1.362091900426043821e+03 5.895051750034570803e-04
1.980197125256673417e+03 2.444312000000000000e+06 1.361938902785820801e+03 5.513671874999999910e-04 1.361968799268322982e+03 5.903416491787014412e-04
1.980199863107460715e+03 2.444313000000000000e+06 1.361925802785820906e+03 5.529296875000000357e-04 1.361895893131935054e+03 5.920145975291902715e-04
1.980202600958247785e+03 2.444314000000000000e+06 1.361940502785820854e+03 5.537109374999999497e-04 1.361912111339835292e+03 5.928510717044345240e-04
1.980205338809034856e+03 2.444315000000000000e+06 1.361979002785820740e+03 5.791015624999999722e-04 1.361985192947141968e+03 6.200364823998759291e-04
1.980208076659821927e+03 2.444316000000000000e+06 1.362034302785820728e+03 5.500000000000000331e-04 1.362149376746087682e+03 5.888778193720239180e-04
1.980210814510609225e+03 2.444317000000000000e+06 1.362045402785820897e+03 5.525390624999999703e-04 1.362154468318472027e+03 5.915963604415679826e-04
1.980213552361396296e+03 2.444318000000000000e+06 1.362024202785820762e+03 5.503906249999999901e-04 1.362091625168819974e+03 5.892960564596459901e-04
1.980216290212183367e+03 2.444319000000000000e+06 1.361986202785820751e+03 5.519531250000000349e-04 1.362013524760187011e+03 5.909690048101348204e-04
1.980219028062970665e+03 2.444320000000000000e+06 1.361922602785820800e+03 5.572265624999999962e-04 1.361791274028880707e+03 5.966152054930341482e-04
1.980221765913757736e+03 2.444321000000000000e+06 1.361909302785820728e+03 5.503906249999999901e-04 1.361728050234627290e+03 5.892960564596459901e-04
1.980224503764544806e+03 2.444322000000000000e+06 1.361953902785820901e+03 5.531250000000000142e-04 1.361803513777497301e+03 5.922237160730012533e-04
1.980227241615331877e+03 2.444323000000000000e+06 1.362038502785820810e+03 5.804687500000000385e-04 1.361961921670337006e+03 6.215003122065536692e-04
1.980229979466119175e+03 2.444324000000000000e+06 1.362140902785820799e+03 5.517578124999999480e-04 1.362211762558054716e+03 5.907598862663236217e-04
1.980232717316906246e+03 2.444325000000000000e+06 1.362192702785820757e+03 5.529296875000000357e-04 1.362326506527834908e+03 5.920145975291902715e-04
1.980235455167693317e+03 2.444326000000000000e+06 1.362165702785820713e+03 5.570312500000000177e-04 1.362244933200618561e+03 5.964060869492230580e-04
1.980238193018480388e+03 2.444327000000000000e+06 1.362088802785820917e+03 5.560546875000000168e-04 1.362146394283364543e+03 5.953604942301676068e-04
1.980240930869267686e+03 2.444328000000000000e+06 1.361937402785820723e+03 5.523437499999999918e-04 1.361814414886997838e+03 5.913872418977568924e-04
1.980243668720054757e+03 2.444329000000000000e+06 1.361776102785820740e+03 5.515624999999999695e-04 1.361393187856013810e+03 5.905507677225125315e-04
1.980246406570841827e+03 2.444330000000000000e+06 1.361773902785820837e+03 5.798828124999999946e-04 1.361643987318482004e+03 6.208729565751202901e-04
1.980249144421629126e+03 2.444331000000000000e+06 1.361784802785820830e+03 5.517578124999999480e-04 1.361854348214887068e+03 5.907598862663236217e-04
1.980251882272416196e+03 2.444332000000000000e+06 1.361780502785820772e+03 5.517578124999999480e-04 1.362100001649423803e+03 5.907598862663236217e-04
1.980254620123203267e+03 2.444333000000000000e+06 1.361695802785820888e+03 5.466796874999999651e-04 1.362252570141386286e+03 5.853228041272353840e-04
1.980257357973990338e+03 2.444334000000000000e+06 1.361436602785820924e+03 5.517578124999999480e-04 1.361956920671939315e+03 5.907598862663236217e-04
1.980260095824777636e+03 2.444335000000000000e+06 1.361033702785820878e+03 5.558593750000000383e-04 1.361369830696172812e+03 5.951513756863565166e-04
1.980262833675564707e+03 2.444336000000000000e+06 1.360531702785820926e+03 5.529296875000000357e-04 1.360420175527317497e+03 5.920145975291902715e-04
1.980265571526351778e+03 2.444337000000000000e+06 1.360078702785820724e+03 5.570312500000000177e-04 1.359397176002106335e+03 5.964060869492230580e-04
1.980268309377138849e+03 2.444338000000000000e+06 1.360007402785820886e+03 5.833984375000000411e-04 1.359774624891463645e+03 6.246370903637199143e-04
1.980271047227926147e+03 2.444339000000000000e+06 1.359917602785820918e+03 5.542968749999999936e-04 1.359402049161192281e+03 5.934784273358677947e-04
1.980273785078713217e+03 2.444340000000000000e+06 1.360084102785820733e+03 5.582031249999999971e-04 1.359900445023624570e+03 5.976607982120895994e-04
1.980276522929500288e+03 2.444341000000000000e+06 1.360278702785820769e+03 5.582031249999999971e-04 1.360164904084254431e+03 5.976607982120895994e-04
1.980279260780287586e+03 2.444342000000000000e+06 1.360524402785820712e+03 5.511718750000000125e-04 1.360452240431141263e+03 5.901325306348904594e-04
1.980281998631074657e+03 2.444343000000000000e+06 1.360819802785820912e+03 5.498046874999999462e-04 1.360870702110228876e+03 5.886687008282127194e-04
1.980284736481861728e+03 2.444344000000000000e+06 1.361089902785820868e+03 5.503906249999999901e-04 1.361077905579254320e+03 5.892960564596459901e-04
1.980287474332648799e+03 2.444345000000000000e+06 1.361398502785820710e+03 5.488281250000000538e-04 1.361424638476736391e+03 5.876231081091573766e-04
1.980290212183436097e+03 2.444346000000000000e+06 1.361723802785820908e+03 5.785156250000000368e-04 1.361837960325534596e+03 6.194091267684427669e-04
1.980292950034223168e+03 2.444347000000000000e+06 1.362061402785820746e+03 5.509765625000000340e-04 1.362480719646265698e+03 5.899234120910793692e-04
1.980295687885010238e+03 2.444348000000000000e+06 1.362230202785820893e+03 5.484374999999999884e-04 1.362603370974374911e+03 5.872048710215351961e-04
1.980298425735797309e+03 2.444349000000000000e+06 1.362290202785820838e+03 5.505859374999999686e-04 1.362640482517539795e+03 5.895051750034570803e-04
1.980301163586584607e+03 2.444350000000000000e+06 1.362217802785820822e+03 5.494140624999999892e-04 1.362462598263647578e+03 5.882504637405906473e-04
1.980303901437371678e+03 2.444351000000000000e+06 1.362018602785820804e+03 5.550781250000000160e-04 1.362005787726920971e+03 5.943149015111121557e-04
1.980306639288158749e+03 2.444352000000000000e+06 1.361768602785820804e+03 5.554687499999999729e-04 1.361417108044633778e+03 5.947331385987343361e-04
1.980309377138945820e+03 2.444353000000000000e+06 1.361594502785820850e+03 5.521484375000000134e-04 1.361033983887962222e+03 5.911781233539458022e-04
1.980312114989733118e+03 2.444354000000000000e+06 1.361616002785820911e+03 5.789062499999999938e-04 1.361349474956830363e+03 6.198273638560648389e-04
1.980314852840520189e+03 2.444355000000000000e+06 1.361647902785820861e+03 5.470703125000000305e-04 1.361470789783678811e+03 5.857410412148575645e-04
1.980317590691307259e+03 2.444356000000000000e+06 1.361724102785820833e+03 5.470703125000000305e-04 1.361740687761210211e+03 5.857410412148575645e-04
1.980320328542094558e+03 2.444357000000000000e+06 1.361780602785820747e+03 5.531250000000000142e-04 1.361913299811945990e+03 5.922237160730012533e-04
1.980323066392881628e+03 2.444358000000000000e+06 1.361826002785820720e+03 5.546874999999999506e-04 1.362146637723940330e+03 5.938966644234899752e-04
1.980325804243668699e+03 2.444359000000000000e+06 1.361773402785820736e+03 5.578125000000000401e-04 1.362085219865838553e+03 5.972425611244674189e-04
1.980328542094455770e+03 2.444360000000000000e+06 1.361639702785820873e+03 5.525390624999999703e-04 1.361819049025337563e+03 5.915963604415679826e-04
1.980331279945243068e+03 2.444361000000000000e+06 1.361461302785820862e+03 5.542968749999999936e-04 1.361410718989482348e+03 5.934784273358677947e-04
1.980334017796030139e+03 2.444362000000000000e+06 1.361339402785820766e+03 5.806640625000000170e-04 1.361227187709834880e+03 6.217094307503647594e-04
1.980336755646817210e+03 2.444363000000000000e+06 1.361222802785820932e+03 5.503906249999999901e-04 1.360807307503522452e+03 5.892960564596459901e-04
1.980339493497604280e+03 2.444364000000000000e+06 1.361289502785820787e+03 5.529296875000000357e-04 1.360979958976884291e+03 5.920145975291902715e-04
1.980342231348391579e+03 2.444365000000000000e+06 1.361454002785820876e+03 5.541015625000000151e-04 1.361312430740085347e+03 5.932693087920567045e-04
1.980344969199178649e+03 2.444366000000000000e+06 1.361658802785820853e+03 5.554687499999999729e-04 1.361675820047092884e+03 5.947331385987343361e-04
1.980347707049965720e+03 2.444367000000000000e+06 1.361869302785820764e+03 5.576171874999999532e-04 1.362097340933893747e+03 5.970334425806562203e-04
